2018-01-23 00:52:27 status half-configured mokutil:amd64 0.3.0-0ubuntu3
2018-01-23 00:52:27 status installed mokutil:amd64 0.3.0-0ubuntu3
2018-01-23 00:52:27 configure sbsigntool:amd64 0.6-0ubuntu10.1 <none>
2018-01-23 00:52:27 status unpacked sbsigntool:amd64 0.6-0ubuntu10.1
2018-01-23 00:52:27 status half-configured sbsigntool:amd64 0.6-0ubuntu10.1
2018-01-23 00:52:27 status installed sbsigntool:amd64 0.6-0ubuntu10.1
2018-01-23 00:52:27 configure secureboot-db:amd64 1.1 <none>
2018-01-23 00:52:27 status unpacked secureboot-db:amd64 1.1
2018-01-23 00:52:27 status half-configured secureboot-db:amd64 1.1
2018-01-23 00:52:27 status installed secureboot-db:amd64 1.1
2018-01-23 00:52:27 configure shim:amd64 0.9+1474479173.6c180c6-1ubuntu1 <none>
2018-01-23 00:52:27 status unpacked shim:amd64 0.9+1474479173.6c180c6-1ubuntu1
2018-01-23 00:52:27 status half-configured shim:amd64 0.9+1474479173.6c180c6-1ubuntu1
2018-01-23 00:52:27 status installed shim:amd64 0.9+1474479173.6c180c6-1ubuntu1
2018-01-23 00:52:27 configure shim-signed:amd64 1.32~16.04.1+0.9+1474479173.6c180c6-1ubuntu1 <none>
2018-01-23 00:52:27 status unpacked shim-signed:amd64 1.32~16.04.1+0.9+1474479173.6c180c6-1ubuntu1
2018-01-23 00:52:27 status half-configured shim-signed:amd64 1.32~16.04.1+0.9+1474479173.6c180c6-1ubuntu1
2018-01-23 00:52:27 status installed shim-signed:amd64 1.32~16.04.1+0.9+1474479173.6c180c6-1ubuntu1
2018-01-23 00:52:27 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-01-23 00:52:27 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-01-23 00:52:27 status installed libc-bin:amd64 2.23-0ubuntu10
2018-01-23 00:52:27 startup packages configure
2018-01-25 00:45:48 startup archives unpack
2018-01-25 00:45:48 install libjpeg-turbo8:amd64 <none> 1.4.2-0ubuntu3
2018-01-25 00:45:48 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-01-25 00:45:48 status half-installed libjpeg-turbo8:amd64 1.4.2-0ubuntu3
2018-01-25 00:45:48 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3
2018-01-25 00:45:48 status unpacked libjpeg-turbo8:amd64 1.4.2-0ubuntu3
2018-01-25 00:45:48 install libpcrecpp0v5:amd64 <none> 2:8.38-3.1
2018-01-25 00:45:48 status half-installed libpcrecpp0v5:amd64 2:8.38-3.1
2018-01-25 00:45:48 status unpacked libpcrecpp0v5:amd64 2:8.38-3.1
2018-01-25 00:45:48 status unpacked libpcrecpp0v5:amd64 2:8.38-3.1
2018-01-25 00:45:48 install mysql-common:all <none> 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:48 status half-installed mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:48 status unpacked mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:48 status unpacked mysql-common:all 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:48 install libaio1:amd64 <none> 0.3.110-2
2018-01-25 00:45:48 status half-installed libaio1:amd64 0.3.110-2
2018-01-25 00:45:48 status unpacked libaio1:amd64 0.3.110-2
2018-01-25 00:45:48 status unpacked libaio1:amd64 0.3.110-2
2018-01-25 00:45:48 install mysql-client-core-5.7:amd64 <none> 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:48 status half-installed mysql-client-core-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 status triggers-pending man-db:amd64 2.7.5-1
2018-01-25 00:45:49 status unpacked mysql-client-core-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 status unpacked mysql-client-core-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 install mysql-client-5.7:amd64 <none> 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 status half-installed mysql-client-5.7:amd64 5.7.21-0ubuntu0.16.04.1
2018-01-25 00:45:49 status unpacked mysql-client-5.7:amd64 5.7.21-0ubuntu0.16.04.1
